ICAO,IATA,Airport Name,Country,Latitude,Longitude,Support,Contact,Phone
OIKB,KWI,Kuwait Intl,Kuwait,29.2267,47.9689,both,Kuwait Airport Operations,+965-2433-5555
OIMM,IKA,Imam Khomeini Intl,Iran,35.4161,51.1522,both,Tehran Airport Operations,+98-21-4601-3000
UKBB,KBP,Boryspil Intl,Ukraine,50.3450,30.8947,both,Kiev Airport Operations,+380-44-281-7474
LKPR,PRG,Václav Havel Airport Prague,Czech Republic,50.1019,14.2632,both,Prague Airport Operations,+420-220-113-314
EPWA,WAW,Warsaw Chopin Airport,Poland,52.1657,20.9671,both,Warsaw Airport Operations,+48-22-650-4220
LHBP,BUD,Budapest Ferenc Liszt Intl,Hungary,47.4394,19.2556,both,Budapest Airport Operations,+36-1-296-7000
LROP,OTP,Henri Coandă Intl,Romania,44.5722,26.1021,both,Bucharest Operations,+40-21-204-1200
LBSF,SOF,Sofia Airport,Bulgaria,42.6824,23.4117,both,Sofia Airport Operations,+359-2-937-2211
LGAV,ATH,Athens Intl,Greece,37.9364,23.9445,both,Athens Airport Operations,+30-210-353-0000
LTBA,ISL,Istanbul Sabiha Gökçen,Turkey,40.8986,29.3092,both,Sabiha Gokcen Operations,+90-216-588-8888
LTAC,ESB,Esenboğa Intl,Turkey,40.1281,32.9951,ground_only,Ankara Ground Services,+90-312-590-4000
BIKF,KEF,Keflavík Intl,Iceland,63.9850,-22.6056,both,Keflavik Airport Operations,+354-425-0600
BGBW,SFJ,Kangerlussuaq Airport,Greenland,67.0122,-50.7116,fuel_only,Kangerlussuaq Fuel,+299-84-1008
CYUL,YUL,Montréal–Trudeau Intl,Canada,45.4706,-73.7408,both,Montreal Airport Operations,+1-514-394-7377
CYVR,YVR,Vancouver Intl,Canada,49.1947,-123.1814,both,Vancouver Airport Operations,+1-604-207-7077
CYYC,YYC,Calgary Intl,Canada,51.1225,-114.0197,both,Calgary Airport Operations,+1-403-735-1200
MMMX,MEX,Mexico City Intl,Mexico,19.4363,-99.0721,both,Mexico City Operations,+52-55-2482-2424
MMUN,CUN,Cancún Intl,Mexico,21.0365,-86.8771,both,Cancun Airport Operations,+52-998-848-7200
TJSJ,SJU,Luis Muñoz Marín Intl,Puerto Rico,18.4394,-66.0018,both,San Juan Operations,+1-787-289-7714
MKJP,KIN,Norman Manley Intl,Jamaica,17.9357,-76.7875,ground_only,Kingston Ground Services,+1-876-924-8452
TNCM,SXM,Princess Juliana Intl,Sint Maarten,18.0410,-63.1089,fuel_only,Sint Maarten Fuel,+1-721-546-7542
